104224,655345,BIMO,090620105,BIONEUTRA INTL LTD,OTC Link,Common Stock,,Y,Pink No Information,,0,1/4/21,0,1/4/21,0,,,,,0,12/30/20,0,0,0,,,,,,115,2/14/20,6,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,163429806,1/4/21,1,1/4/21,2021,,,1,1,1,,,1,,0,104224,,,0,1,1
104281,655411,EMRH,29100M109,EMERGING HOLDINGS INC,OTC Link,Common Stock,,Y,Pink No Information,,0,1/4/21,0,1/4/21,0,,,,,0,12/31/20,1,0,1,,,,,,,,4,2,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,101000000,6/30/04,1,1/4/21,2021,,,1,1,1,,,1,,0,104281,0,-7,0,1,1
104364,655486,QCCO,74729T101,QC HOLDINGS INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,300,80,1,,,,,,726,11/30/20,6,5,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,17333033,7/31/15,1,1/4/21,2021,,,1,1,1,,,1,,0,104364,0,4,0,1,1
104373,655491,VYON,92855W102,VIYYA TECHS INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,15683923,71896,210,35020,7591919,111,,,2659,8/14/20,5,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,491415506,1/4/21,1,1/4/21,2021,,,1,1,1,,,1,,0,104373,5,11,0,1,1
104745,655839,NHLG,63633Y108,NATL HEALTHCARE LOGISTICS,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,,,,,0,12/30/20,0,0,0,,,,,,30500,11/30/20,4,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,25275000,12/21/20,1,1/4/21,2021,,,1,1,1,,,1,,0,104745,,,0,1,1
105066,656160,SCAL,85857C108,STEM CELL AUTHORITY LTD,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,,,,,0,12/30/20,0,0,0,,,,,,20817,7/15/20,5,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,350851065,8/17/20,1,1/4/21,2021,,,1,1,1,,,1,,0,105066,,,0,1,1
105439,620753,SPBV,84920J109,SPORTS POUCH BEV CO INC,OTC Link,Common Stock,,Y,Pink No Information,,0,1/4/21,0,1/4/21,0,,,,,0,12/31/20,0,0,0,,,,,,44786,11/30/20,6,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,674124007,1/4/21,1,1/4/21,2021,,,1,1,1,,,1,,0,105439,,,0,1,1
105540,654612,UVSS,913854204,UNIVERSAL SYSTEMS INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,1303677,3738,8,825,275000,1,,,2100,11/30/19,5,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,246049052,9/30/09,1,1/4/21,2021,,,1,1,1,,,1,,0,105540,2,8,0,1,1
105579,656629,INTK,456277102,INDUSTRIAL NANOTECH INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,118119,146,5,130,100000,1,,,50000,9/30/20,6,4,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,2300764752,1/4/21,1,1/4/21,2021,,,1,1,1,,,1,,0,105579,2,5,0,1,1
106326,34013,AVOA,053843207,AVOCA LLC,OTC Link,Common Stock,,N,Pink No Information,,901,1/4/21,1325,1/4/21,1113,,,,,1000,12/10/20,0,0,0,,,,,,1,5/29/20,8,4,22,901,1/4/21,OTC Link,1325,1/4/21,OTC Link,Active,8059,12/19/12,1,1/4/21,2021,,,1,1,1,,,1,,0,106326,,,0,1,1
106477,657458,EGDD,276486107,EASTERN GOLDFIELDS INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,,,,,0,12/31/20,0,0,0,,,,,,111,2/28/20,5,3,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,9377986,5/15/08,1,1/4/21,2021,,,1,1,1,,,1,,0,106477,,,0,1,1
106700,657653,HYEG,448876102,HYDROGEN ENGINE CTR INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,31519,7805,42,756,3045,2,,,10811,11/30/20,8,7,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,50580417,11/1/18,1,1/4/21,2021,,,1,1,1,,,1,,0,106700,4,9,0,1,1
106834,657780,MAOTF,V5721T117,MAROC TELECOM ITISSALAT,OTC Link,Ordinary Shares,,N,Pink No Information,,,,,,,,,,,15,10/3/18,0,0,0,,,,,,6,10/15/20,1,,22,,1/4/21,OTC Link,,1/4/21,OTC Link,Active,879095300,6/30/11,1,1/4/21,2021,,,1,1,1,,,1,,0,106834,,,0,1,1
107133,658062,ECRO,26826M108,ECC CAPITAL CORP,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,648,42,1,,,,,,7579,6/30/20,8,7,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,100243162,11/10/06,1,1/4/21,2021,,,1,1,1,,,1,,0,107133,0,4,0,1,1
107183,621009,ILST,460371206,INTL STAR INC,OTC Link,Common Stock,,N,Pink No Information,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/31/20,4551101,1395,8,1140,3800000,6,,,54675,11/30/20,6,6,22,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,1936364391,11/18/19,1,1/4/21,2021,,,1,1,1,,,1,,0,107183,2,7,0,1,1
107448,658320,KMDRF,491902102,KERMODE RESOURCES LTD,OTC Link,Ordinary Shares,,N,Pink No Information,,,,,,,,,,,,,,,0,,,,,,,,,,22,,6/24/21,,,6/24/21,,Active,40987370,11/30/11,1,6/24/21,2021,,,1,1,1,,,1,,0,107448,,,0,1,1
107945,658811,WCCP,947000105,WEALTHCRAFT CAPITAL INC,OTC Link,Common Stock,,N,Pink Current,,0,1/4/21,0,1/4/21,0,0,0,0,0,0,12/30/20,355,74,3,,,,,,631,11/30/20,6,3,20,0,1/4/21,OTC Link,0,1/4/21,OTC Link,Active,75673060,1/4/21,1,1/4/21,2021,,,1,1,1,,,1,,0,107945,1,4,0,1,1
