Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number,file,Link
True, AMNCB, | Class B common stock, 03153A205, $.001," 40,000,000 "," December 31, 2018"," 21,279,642 "," December 31, 2018",None,None,None,None,AMNCB,2019,9,AMNCB_2019_Annual_9.txt,https://www.otcmarkets.com/otcapi/company/financial-report/232474/content
True, AMNCB, | Class B common stock, 03153A205, $.001," 40,000,000 "," December 31, 2017"," 21,279,642 "," December 31, 2017",None,None,None,None,AMNCB,2019,12,AMNCB_2019_Annual_12.txt,https://www.otcmarkets.com/otcapi/company/financial-report/232466/content
True, AMNCB, | Class B common stock, 03153A205, $.001," 500,000,000 "," December 31, 2019"," 21,279,642 "," December 31, 2019",None,None,None,None,AMNCB,2020,5,AMNCB_2020_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/246343/content
True, AMNCB, © Class Bcommon stock, 03153A205, $.001," 500,000,000 "," December 31, 2020"," 21,279,642 "," December 31, 2020",None,None,None,None,AMNCB,2021,5,AMNCB_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/296691/content
True, AMNCB, © Class Bcommon stock, 03153A205, $.001," 500,000,000 "," December 31, 2021"," 21,392,195  "," December 31, 2021",None,None,None,None,AMNCB,2022,7,AMNCB_2022_Annual_7.txt,https://www.otcmarkets.com/otcapi/company/financial-report/318652/content
True,,CUSIP:,,,,,,,None,None,None,None,AMXX,2022,1,AMXX_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/346392/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 10,000,000 ", 12/31/2020," 10,000,000 ", 12/31/2020,None,None,None,None,APWL,2021,1,APWL_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304038/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 10,000,000 ", 12/31/2019," 10,000,000 ", 12/31/2019,None,None,None,None,APWL,2021,2,APWL_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304036/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 10,000,000 ", 12/31/2021," 10,000,000 ", 12/31/2021,None,None,None,None,APWL,2022,1,APWL_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/324070/content
True, ASTO, Common Stock, 046376109, NA," 7,299,300 "," Oct 31, 2020"," 936,770 "," Oct 31, 2020",None,None,None,None,ASTO,2021,3,ASTO_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/293091/content
True, ASTO, Common Stock, 046376109, NA," 7,299,300 "," Oct 31, 2020"," 936,770 "," Oct 31, 2020",None,None,None,None,ASTO,2021,5,ASTO_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/293089/content
True, N/A, N/A, N/A Par or stated value: N/A, N/A, N/A , N/A Total shares outstanding:,, N/A,None,None,None,None,ATHC,2021,1,ATHC_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298238/content
True, N/A, N/A, N/A Par or stated value: N/A, N/A, N/A , N/A Total shares outstanding:,, N/A,None,None,None,None,ATHC,2021,2,ATHC_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298237/content
True, N/A,,,, ,, ,,None,None,None,None,ATHC,2022,1,ATHC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/327437/content
True, N/A,,,,,,,,None,None,None,None,ATOR,2021,1,ATOR_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302682/content
True, N/A,,,,,,,,None,None,None,None,ATOR,2021,2,ATOR_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301732/content
True, N/A,,,,,,,,None,None,None,None,ATOR,2022,1,ATOR_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/322378/content
True, None, Preferred Class A, None, .0001,,,,,None,None,None,None,BBLC,2021,5,BBLC_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304713/content
True, None, Preferred Class B, None, .0001,,,,,None,None,None,None,BBLC,2021,5,BBLC_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304713/content
True, NONE — NO PUBLIC MARKET, Preferred Class A, NONE, $0.0001," 100,000,000 "," February 16, 2010"," 90,000 "," December 31, 2021 and October 25, 2022",None,None,None,None,BBLC,2022,1,BBLC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/349561/content
True, NONE — NO PUBLIC MARKET, Preferred Class B, NONE, $0.0001," 10,000,000 "," October 9, 2009"," 404,425 "," December 31, 2021 and October 25, 2022",None,None,None,None,BBLC,2022,1,BBLC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/349561/content
True, NONE — NO PUBLIC MARKET, Preferred Class C, NONE, 0.0001," 20,000,000 "," April 27, 2017, and August 2021", -0- ," December 31, 2021 and October 25, 2022",None,None,None,None,BBLC,2022,1,BBLC_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/349561/content
True, BCDS, PREFERRED, 093418101, 0.001," 5,000,000 "," December 31, 2021"," 5,000,000 "," December 31, 2021",None,None,None,None,BCDS,2022,1,BCDS_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/348690/content
True, BCDS, PREFERRED, 093418101, 0.001," 5,000,000 "," December 31, 2020"," 5,000,000 "," December 31, 2020",None,None,None,None,BCDS,2022,2,BCDS_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/348689/content
True, n/a, n/a, n/a, n/a, ,, ,,None,None,None,None,BCND,2021,1,BCND_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298409/content
True, n/a, n/a, n/a, n/a, ,, ,,None,None,None,None,BCND,2021,2,BCND_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298408/content
True, n/a, n/a, n/a, n/a, ,, ,,None,None,None,None,BCND,2021,3,BCND_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298405/content
True, n/a, n/a, n/a, n/a, ,, ,,None,None,None,None,BCND,2021,4,BCND_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/298404/content
True, NA, Preferred, NA, $0.00, 0 , 12/31/2020, 0 , 12/31/2020,None,None,None,None,BDCM,2021,1,BDCM_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299688/content
True, NA, Preferred, NA, $0.00, 0 , 12/31/2020, 0 , 12/31/2020,None,None,None,None,BDCM,2021,1,BDCM_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299688/content
True, NA, Preferred, NA, $0.00, 0 , 12/31/2019, 0 , 12/31/2019,None,None,None,None,BDCM,2021,2,BDCM_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299687/content
True, NA, Preferred, NA, $0.00, 0 , 12/31/2019, 0 , 12/31/2019,None,None,None,None,BDCM,2021,2,BDCM_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/299687/content
True, BFCH, Series A Preferred Stock, None, 0.0001, 5 ," December 31, 2018", 2 ," December 31, 2018",None,None,None,None,BFCH,2019,1,BFCH_2019_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/219467/content
True, BFCH, Series B Preferred Stock, None, 0.0001," 30,000,000 "," December 31, 2018"," 14,000,000 "," December 31, 2018",None,None,None,None,BFCH,2019,1,BFCH_2019_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/219467/content
True, BFCH, Series C Convertible Preferred Stock, None, 0.0001," 10,000,000 "," December 31, 2018"," 6,620,000 "," December 31, 2018",None,None,None,None,BFCH,2019,1,BFCH_2019_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/219467/content
True, BFCH, Series D Super Voting Preferred Stock, None, 0.0001, 51 ," December 31, 2018", 51 ," December 31, 2018",None,None,None,None,BFCH,2019,1,BFCH_2019_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/219467/content
True, BFCH, Series C Convertible Preferred Stock, None, 0.0001," 10,000,000 "," December 31, 2019"," 6,620,000 "," December 31, 2019",None,None,None,None,BFCH,2020,2,BFCH_2020_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/252582/content
True, BECH, Series D Super Voting Preferred Stock, None, 0.0001, 51 ," December 31, 2019", o1 ," December 31, 2019",None,None,None,None,BFCH,2020,2,BFCH_2020_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/252582/content
True, NA,,,,,,,,None,None,None,None,BHLD,2021,1,BHLD_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304667/content
True, NA,,,,,,,,None,None,None,None,BHLD,2021,2,BHLD_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304740/content
True, NA,,,, ,, ,,None,None,None,None,BHLD,2022,4,BHLD_2022_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/327970/content
True, BIEl, Series A Convertible Preferred, N/A, $0.001," 10,000,000 "," December 31, 2020"," 2,000,000 "," December 31, 2020",None,None,None,None,BIEI,2021,1,BIEI_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304028/content
True, BIEl, Series B Convertible Preferred, N/A, $0.001," 1,000,000 "," December 31, 2020"," 133,780 "," December 31, 2020",None,None,None,None,BIEI,2021,1,BIEI_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/304028/content
True, None,,,,,,,,None,None,None,None,BIMO,2021,3,BIMO_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/314600/content
True, None,,,,,,,,None,None,None,None,BIMO,2021,5,BIMO_2021_Annual_5.txt,https://www.otcmarkets.com/otcapi/company/financial-report/311130/content
True, NONE,,,,,,,,None,None,None,None,BIMO,2022,2,BIMO_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/352411/content
True, None, Preferred Stock, None, $.001," 100,000,000 ",, None,,None,None,None,None,BRNE,2021,1,BRNE_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/305172/content
True, None, Preferred Stock, None, $.001," 100,000,000 ",, None,,None,None,None,None,BRNE,2021,2,BRNE_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/305171/content
True, None, Preferred Stock, None, $.001," 100,000,000 ",, None,,None,None,None,None,BRNE,2021,3,BRNE_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/296326/content
True, None, Preferred Stock, None, $.001," 100,000,000 ",, None,,None,None,None,None,BRNE,2021,4,BRNE_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/296324/content
True, None, Preferred Stock, None, $.001," 100,000,000 ",, None,,None,None,None,None,BRNE,2022,1,BRNE_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/325699/content
True, BSTK, PREFERRED, 11041N206, 01," 20,000,000 ", 12/31/2020, 0 , 12/31/2020,None,None,None,None,BSTK,2021,1,BSTK_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301215/content
